acl 2.2.52-3
acpi 1.7-1
adwaita-icon-theme 3.22.0-1
alsa-lib 1.1.3-1
alsa-plugins 1.1.1-1
alsa-utils 1.1.3-1
arandr 0.1.9-2
arc-gtk-theme 20161119-1
arc-icon-theme 20161122-1
archlinux-keyring 20161201-1
aspell 0.60.6.1-5
at-spi2-atk 2.22.0-1
at-spi2-core 2.22.0-1
atk 2.22+1+gd57f97d-1
attica-qt5 5.29.0-1
attr 2.4.47-2
audiofile 0.3.6-3
autoconf 2.69-4
automake 1.15-2
avahi 0.6.32-2
babl 0.1.18-1
bash 4.4.005-2
bbswitch 0.8-55
binutils 2.27-1
bison 3.0.4-2
boost-libs 1.62.0-4
bspwm 0.9.2-1
bumblebee 3.2.1-12
bzip2 1.0.6-5
ca-certificates 20160507-1
ca-certificates-cacert 20140824-4
ca-certificates-mozilla 3.27.2-1
ca-certificates-utils 20160507-1
cairo-infinality-ultimate 1.14.6-2
cdparanoia 10.2-5
chromium 55.0.2883.87-1
cifs-utils 6.5-1
cmake 3.7.1-1
cmatrix 1.2a-11
compositeproto 0.4.2-3
compton 0.1_beta2.5-4
coreutils 8.26-1
cower 16-1
cowsay 3.03-9
cpupower 4.8-1
cracklib 2.9.6-1
cryptsetup 1.7.3-1
curl 7.52.1-2
damageproto 1.2.1-3
db 5.3.28-3
dbus 1.10.14-1
dbus-glib 0.108-1
dconf 0.26.0-2
desktop-file-utils 0.23-1
device-mapper 2.02.168-1
dhcpcd 6.11.3-1
dialog 1:1.3_20160828-1
diffutils 3.5-1
dmxproto 2.3.1-3
dnssec-anchors 20150403-1
dunst 1.1.0-1
e2fsprogs 1.43.3-1
eclipse-common 4.6.2-1
eclipse-jee 4.6.2-1
enchant 1.6.0-10
exo 0.10.7-2
expac 8-1
expat 2.2.0-2
faad2 2.7-4
fakeroot 1.21-2
feh 2.18-1
ffmpeg 1:3.2.2-2
fftw 3.3.5-1
file 5.29-1
filelight 16.12.0-1
filesystem 2016.12-2
findutils 4.6.0-2
fixesproto 5.0-3
flac 1.3.1-3
flex 2.6.1-1
fontconfig-infinality-ultimate 2.11.95-4
fontsproto 2.1.3-1
fortune-mod 1.99.1-6
fortune-mod-archlinux 1-3
freeglut 3.0.0-1
freetype2-infinality-ultimate 2.6.3-4
fribidi 0.19.7-1
fuse-common 3.0.0-1
fuse2 2.9.7-3
gawk 4.1.4-2
gc 7.6.0-1
gcc 6.2.1-1
gcc-libs 6.2.1-1
gconf 3.2.6-5
gcr 3.20.0+11+g8322f27-1
gdbm 1.12-2
gdk-pixbuf2 2.36.1+31+gecea71eb6-1
gegl02 0.2.0-7
geoclue2 2.4.4-2
gettext 0.19.8.1-2
giblib 1.2.4-6
giflib 5.1.4-1
gimp 2.8.18-3
girara 0.2.6-3
git 2.11.0-2
glew 2.0.0-1
glew1.10 1.10.0-1
glib-networking 2.50.0-1
glib2 2.50.2-1
glibc 2.24-2
glu 9.0.0-4
gmp 6.1.1-1
gnome-disk-utility 3.22.1-1
gnupg 2.1.17-3
gnutls 3.4.17-1
gohufont 2.1-1
gperf 3.0.4-7
gpgme 1.7.1-2
gpm 1.20.7-7
graphite 1:1.3.9-1
grep 2.27-1
groff 1.22.3-7
gsettings-desktop-schemas 3.22.0+1+g6f52ab5-1
gsfonts 20160531-3
gsm 1.0.14-1
gst-plugins-base 1.10.2-1
gst-plugins-base-libs 1.10.2-1
gstreamer 1.10.2-1
gtk-engine-murrine 0.98.2-2
gtk-update-icon-cache 3.22.5-1
gtk2 2.24.31-1
gtk3 3.22.5-1
guile 2.0.13-2
